iter	RMSE
0	12003.06997
1	11662.35849
2	11315.76109
3	10994.26642
4	10664.14532
5	10359.94623
6	10072.97544
7	9816.29253
8	9544.014846
9	9302.19841
10	9055.303176
11	8818.113473
12	8606.705713
13	8392.214017
14	8190.646358
15	7995.157117
16	7797.444107
17	7621.482398
18	7437.749487
19	7277.650172
20	7116.333823
21	6968.008059
22	6823.486462
23	6685.640954
24	6549.45373
25	6428.420623
26	6315.669948
27	6201.655546
28	6091.036146
29	5988.59662
30	5886.332802
31	5793.571391
32	5707.206577
33	5632.409549
34	5555.510684
35	5481.698084
36	5410.220787
37	5345.706576
38	5280.34776
39	5223.580492
40	5167.225558
41	5114.31689
42	5063.292634
43	5022.072347
44	4974.642712
45	4934.090329
46	4893.504518
47	4852.52496
48	4819.043808
49	4784.002368
50	4752.969831
51	4724.920271
52	4692.774602
53	4665.186407
54	4641.274991
55	4614.441226
56	4589.236331
57	4567.56541
58	4546.574764
59	4526.433743
60	4506.058457
61	4489.47313
62	4470.697366
63	4455.858413
64	4439.908815
65	4425.051766
66	4413.146074
67	4395.932919
68	4382.861645
69	4369.441606
70	4355.197599
71	4344.825743
72	4334.549518
73	4323.970383
74	4313.858577
75	4304.56668
76	4292.768477
77	4281.903305
78	4274.806241
79	4266.397842
80	4259.201527
81	4253.224728
82	4246.32092
83	4240.268835
84	4233.727738
85	4228.067009
86	4223.536944
87	4218.201622
88	4211.955065
89	4207.53539
90	4200.202946
91	4195.489405
92	4192.383063
93	4187.598052
94	4183.119417
95	4180.152666
96	4174.932579
97	4170.351076
98	4160.546726
99	4156.466845
100	4151.375546
101	4145.972736
102	4142.859978
103	4138.153452
104	4134.01576
105	4131.064824
106	4127.91567
107	4123.997963
108	4121.445942
109	4115.473956
110	4111.392771
111	4109.107207
112	4104.00496
113	4099.860159
114	4098.622549
115	4095.342288
116	4091.633998
117	4088.611094
118	4084.809362
119	4078.449863
120	4074.498531
121	4067.432657
122	4062.837492
123	4061.328416
124	4059.662474
125	4056.646204
126	4054.964683
127	4051.238911
128	4049.153283
129	4045.210834
130	4041.656165
131	4038.76162
132	4036.561394
133	4035.564274
134	4029.136911
135	4024.307506
136	4018.337406
137	4016.622427
138	4012.417322
139	4009.827789
140	4007.166541
141	4004.176214
142	4002.846947
143	4001.259645
144	3999.686148
145	3996.573902
146	3994.883863
147	3992.794957
148	3990.863128
149	3989.90079
150	3987.113307
151	3983.156006
152	3977.480751
153	3975.316255
154	3973.063197
155	3971.340299
156	3965.14204
157	3963.585434
158	3959.58462
159	3955.815646
160	3953.347057
161	3948.643976
162	3947.819235
163	3946.074472
164	3942.098438
165	3940.84602
166	3939.269776
167	3936.67963
168	3934.424534
169	3930.147519
170	3928.671096
171	3927.446907
172	3926.022223
173	3922.334508
174	3921.608846
175	3919.768388
176	3914.219365
177	3911.526775
178	3908.999754
179	3906.604056
180	3905.10867
181	3902.522136
182	3901.322051
183	3896.751062
184	3894.783105
185	3894.040171
186	3891.28232
187	3888.485449
188	3882.624583
189	3881.707938
190	3880.264125
191	3879.310302
192	3877.310608
193	3876.446188
194	3873.43407
195	3870.641471
196	3869.831001
197	3863.675054
198	3860.509873
199	3857.891362
200	3857.266857
201	3853.950741
202	3853.16412
203	3851.143281
204	3848.541868
205	3843.664132
206	3842.480171
207	3841.530333
208	3835.936851
209	3833.812704
210	3831.953314
211	3828.772948
212	3825.112913
213	3821.81633
214	3820.845094
215	3819.958381
216	3819.519543
217	3816.40179
218	3815.040575
219	3814.35213
220	3808.034826
221	3805.026664
222	3803.763328
223	3802.54821
224	3800.077556
225	3799.36893
226	3799.06276
227	3796.361773
228	3790.751587
229	3788.800173
230	3788.046946
231	3786.709671
232	3785.335179
233	3782.220574
234	3780.975454
235	3778.183684
236	3777.393038
237	3772.101824
238	3770.153403
239	3769.606448
240	3767.910241
241	3765.489389
242	3762.846612
243	3757.803755
244	3756.572436
245	3753.596148
246	3751.279118
247	3747.506133
248	3745.514571
249	3744.488056
250	3742.950299
251	3741.282323
252	3736.590609
253	3735.764556
254	3732.487992
255	3729.29183
256	3722.922989
257	3721.366821
258	3716.584111
259	3714.341237
260	3712.927667
261	3710.206544
262	3706.242676
263	3705.775731
264	3702.835668
265	3699.266888
266	3696.398243
267	3692.854936
268	3690.793063
269	3687.326245
270	3686.466531
271	3683.068553
272	3681.088718
273	3678.103732
274	3676.379075
275	3673.756373
276	3670.913932
277	3668.077399
278	3665.847052
279	3665.294046
280	3663.228546
281	3661.137956
282	3658.842408
283	3655.975407
284	3655.588737
285	3653.176679
286	3651.463513
287	3648.718897
288	3643.693278
289	3641.856563
290	3640.459782
291	3637.318813
292	3633.019591
293	3630.078293
294	3627.364805
295	3624.876671
296	3620.219814
297	3617.779436
298	3614.217705
299	3612.199986
300	3610.807366
301	3608.408847
302	3605.822699
303	3604.178134
304	3602.422307
305	3601.414595
306	3599.286042
307	3596.887387
308	3591.20442
309	3590.504298
310	3586.775194
311	3582.754573
312	3578.184305
313	3571.823861
314	3570.351268
315	3567.808688
316	3565.213549
317	3562.61546
318	3559.327109
319	3557.290843
320	3555.39669
321	3547.887322
322	3547.228143
323	3545.528816
324	3540.125316
325	3538.542896
326	3534.194348
327	3530.617804
328	3528.476267
329	3527.173963
330	3521.756743
331	3518.245649
332	3516.080106
333	3514.925605
334	3508.007337
335	3506.829268
336	3504.569781
337	3504.380929
338	3502.543898
339	3500.94193
340	3498.778946
341	3497.238108
342	3493.797937
343	3490.303349
344	3488.896808
345	3486.863529
346	3485.171012
347	3482.870279
348	3481.181611
349	3476.791358
350	3474.330379
351	3472.18842
352	3469.94311
353	3467.471827
354	3465.458383
355	3464.714253
356	3462.489884
357	3460.081399
358	3458.722413
359	3457.711782
360	3456.728622
361	3454.791945
362	3452.764229
363	3449.226038
364	3446.897844
